# 학교명,구·군,개편 전 구·군,계열,설립,남녀   (출처: _2026_4_1_자_학교_현황__최종_.xlsx 고등학교 시트 · 구·군 기준: 개편후)
# fetch_ice_curriculum.py 는 앞의 두 칸(학교명,구·군)만 읽습니다. sync_school_list.py 로 다시 만들 수 있어요.
강남영상미디어고등학교,강화군,강화군,특성화,공립,공학
강화고등학교,강화군,강화군,일반,공립,남
강화여자고등학교,강화군,강화군,일반,공립,여
교동고등학교,강화군,강화군,일반,공립,공학
덕신고등학교,강화군,강화군,일반,사립,공학
산마을고등학교,강화군,강화군,특성화,사립,공학
서도고등학교,강화군,강화군,일반,공립,공학
한국글로벌셰프고등학교,강화군,강화군,특성화,사립,남
검단고등학교,검단구,서구,일반,공립,여
문곡고등학교,검단구,서구,특성화,사립,공학
백석고등학교,검단구,서구,일반,공립,공학
인천마전고등학교,검단구,서구,일반,공립,남
인천아라고등학교,검단구,서구,일반,공립,공학
인천원당고등학교,검단구,서구,일반,공립,공학
인천이음고등학교,검단구,서구,일반,공립,공학
한국주얼리고등학교,검단구,서구,특성화,사립,공학
계산고등학교,계양구,계양구,일반,공립,남
계산공업고등학교,계양구,계양구,특성화,공립,남
계산여자고등학교,계양구,계양구,일반,공립,여
계양고등학교,계양구,계양구,일반,공립,남
서운고등학교,계양구,계양구,일반,공립,공학
안남고등학교,계양구,계양구,일반,공립,공학
인천세원고등학교,계양구,계양구,일반,공립,여
인천예일고등학교,계양구,계양구,일반,공립,공학
인천효성고등학교,계양구,계양구,일반,공립,공학
작전고등학교,계양구,계양구,일반,공립,남
작전여자고등학교,계양구,계양구,일반,공립,여
도림고등학교,남동구,남동구,일반,공립,남
동인천고등학교,남동구,남동구,일반,공립,남
문일여자고등학교,남동구,남동구,일반,사립,여
문학정보고등학교,남동구,미추홀구,특성화,공립,공학
미추홀외국어고등학교,남동구,남동구,특목,공립,공학
석정여자고등학교,남동구,남동구,일반,공립,여
숭덕여자고등학교,남동구,남동구,일반,사립,여
신명여자고등학교,남동구,남동구,일반,사립,여
인제고등학교,남동구,남동구,일반,사립,남
인천고잔고등학교,남동구,남동구,일반,공립,여
인천금융고등학교,남동구,남동구,특성화,사립,여
인천남고등학교,남동구,남동구,일반,공립,남
인천남동고등학교,남동구,남동구,일반,공립,남
인천논현고등학교,남동구,남동구,일반,공립,여
인천만수고등학교,남동구,남동구,일반,공립,남
인천송천고등학교,남동구,남동구,일반,공립,남
인천예술고등학교,남동구,남동구,특목,공립,공학
선인고등학교,미추홀구,미추홀구,일반,공립,남
인명여자고등학교,미추홀구,미추홀구,일반,사립,여
인천고등학교,미추홀구,미추홀구,일반,공립,남
인천기계공업고등학교,미추홀구,미추홀구,특성화,공립,남
