학교명,id,게시번호,학과,수정일,파일,크기(bytes),결과
가림고등학교,garim,3221,일반,2026-02-19 11:51,schools/garim.xlsx,,skip
가정고등학교,gajeong,3160,일반,2026-01-05 09:28,schools/gajeong.xlsx,,skip
가좌고등학교,gajwa,3234,일반,2026-04-09 13:49,schools/gajwa.xlsx,,skip
강화고등학교,ganghwa,3208,일반,2026-01-05 09:17,schools/ganghwa.xlsx,,skip
강화여자고등학교,ganghwayeoja,3231,일반,2026-03-25 11:13,schools/ganghwayeoja.xlsx,,skip
계산고등학교,gyesan,3171,일반,2026-01-05 09:25,schools/gyesan.xlsx,,skip
계산여자고등학교,gyesanyeoja,3215,일반,2026-02-05 12:37,schools/gyesanyeoja.xlsx,,skip
계양고등학교,gyeyang,3101,일반,2026-01-05 09:45,schools/gyeyang.xlsx,,skip
교동고등학교,gyodong,2942,일반,2026-01-05 10:11,schools/gyodong.xlsx,,skip
대인고등학교,daein,2992,일반,2026-01-05 10:08,schools/daein.xlsx,,skip
대청고등학교,daecheong,2880,일반,2026-01-05 10:14,schools/daecheong.xlsx,,skip
덕신고등학교,deoksin,3204,일반,2025-12-30 08:22,schools/deoksin.xlsx,,skip
덕적고등학교,deokjeok,3017,일반,2026-01-05 09:59,schools/deokjeok.xlsx,,skip
동산고등학교,dongsan,3209,일반,2026-01-05 09:17,schools/dongsan.xlsx,,skip
명신여자고등학교,myeongsinyeoja,3290,일반,2026-08-12 16:08,schools/myeongsinyeoja.xlsx,,skip
문일여자고등학교,munilyeoja,3087,일반,2026-01-05 10:55,schools/munilyeoja.xlsx,,skip
미추홀외국어고등학교,michuholoegukeo,3181,일반,2025-12-30 08:25,schools/michuholoegukeo.xlsx,,skip
박문여자고등학교,bakmunyeoja,2847,일반,2026-01-05 10:20,schools/bakmunyeoja.xlsx,,skip
백령고등학교,baekryeong,3023,일반,2026-01-05 09:58,schools/baekryeong.xlsx,,skip
백석고등학교,baekseok,2881,일반,2026-01-05 10:14,schools/baekseok.xlsx,,skip
부개고등학교,bugae,3118,일반,2026-01-05 10:22,schools/bugae.xlsx,,skip
부개여자고등학교,bugaeyeoja,2996,일반,2026-01-05 10:07,schools/bugaeyeoja.xlsx,,skip
부광고등학교,bugwang,2958,일반,2026-01-05 10:09,schools/bugwang.xlsx,,skip
부광여자고등학교,bugwangyeoja,3150,일반,2026-01-05 09:29,schools/bugwangyeoja.xlsx,,skip
부평고등학교,bupyeong,3120,일반,2026-01-05 10:22,schools/bupyeong.xlsx,,skip
부평여자고등학교,bupyeongyeoja,2888,일반,2026-01-05 10:13,schools/bupyeongyeoja.xlsx,,skip
삼산고등학교,samsan,3262,일반,2026-07-13 09:51,schools/samsan.xlsx,,skip
서도고등학교,seodo,3108,일반,2026-01-05 10:49,schools/seodo.xlsx,,skip
서운고등학교,seoun,3167,일반,2026-01-05 09:28,schools/seoun.xlsx,,skip
서인천고등학교,seoincheon,3152,일반,2026-01-05 09:29,schools/seoincheon.xlsx,,skip
석정여자고등학교,seokjeongyeoja,2948,일반,2026-01-05 10:10,schools/seokjeongyeoja.xlsx,,skip
선인고등학교,seonin,3025,일반,2026-01-05 09:49,schools/seonin.xlsx,,skip
세일고등학교,seil,3104,일반,2026-01-05 10:49,schools/seil.xlsx,,skip
송도고등학교,songdo,3136,일반,2026-01-05 09:40,schools/songdo.xlsx,,skip
숭덕여자고등학교,sungdeokyeoja,3089,일반,2026-01-05 10:53,schools/sungdeokyeoja.xlsx,,skip
신명여자고등학교,sinmyeongyeoja,3169,일반,2026-01-05 09:27,schools/sinmyeongyeoja.xlsx,,skip
신송고등학교,sinsong,2943,일반,2026-01-05 10:11,schools/sinsong.xlsx,,skip
안남고등학교,annam,2844,일반,2026-01-05 10:20,schools/annam.xlsx,,skip
연수여자고등학교,yeonsuyeoja,2965,일반,2026-01-05 10:09,schools/yeonsuyeoja.xlsx,,skip
연평고등학교,yeonpyeong,3198,일반,2025-12-30 08:24,schools/yeonpyeong.xlsx,,skip
옥련여자고등학교,okryeonyeoja,3042,일반,2026-01-05 09:57,schools/okryeonyeoja.xlsx,,skip
인명여자고등학교,inmyeongyeoja,3232,일반,2026-03-25 11:10,schools/inmyeongyeoja.xlsx,,skip
인성여자고등학교,inseongyeoja,3219,일반,2026-02-05 12:37,schools/inseongyeoja.xlsx,,skip
인일여자고등학교,inilyeoja,3170,일반,2026-01-05 09:26,schools/inilyeoja.xlsx,,skip
인제고등학교,inje,3075,일반,2026-01-05 09:53,schools/inje.xlsx,,skip
인천고등학교,school,3140,일반,2026-01-05 09:34,schools/school.xlsx,,skip
인천고잔고등학교,gojan,3126,일반,2026-01-05 09:42,schools/gojan.xlsx,,skip
인천과학고등학교,gwahak,3228,일반,2026-03-10 20:45,schools/gwahak.xlsx,,skip
인천국제고등학교,gukje,2902,일반,2026-01-05 10:13,schools/gukje.xlsx,,skip
인천남고등학교,nam,3210,일반,2026-01-07 10:35,schools/nam.xlsx,,skip
인천남동고등학교,namdong,3035,일반,2026-01-05 09:58,schools/namdong.xlsx,,skip
인천논현고등학교,nonhyeon,3076,일반,2026-01-05 09:52,schools/nonhyeon.xlsx,,skip
인천대건고등학교,daegeon,3216,일반,2026-02-03 09:23,schools/daegeon.xlsx,,skip
인천마전고등학교,majeon,2860,일반,2026-01-05 10:20,schools/majeon.xlsx,,skip
인천만수고등학교,mansu,3085,일반,2026-01-05 10:55,schools/mansu.xlsx,,skip
인천부흥고등학교,buheung,3044,일반,2026-01-05 09:57,schools/buheung.xlsx,,skip
인천산곡고등학교,sangok,2974,일반,2026-01-05 10:08,schools/sangok.xlsx,,skip
인천상정고등학교,sangjeong,3058,일반,2026-01-05 09:48,schools/sangjeong.xlsx,,skip
인천세원고등학교,sewon,3224,일반,2026-03-25 11:11,schools/sewon.xlsx,,skip
인천송천고등학교,songcheon,3211,일반,2026-02-20 15:50,schools/songcheon.xlsx,,skip
인천신현고등학교,sinhyeon,3082,일반,2026-01-05 10:56,schools/sinhyeon.xlsx,,skip
인천아라고등학교,ara,3247,일반,2026-05-29 14:52,schools/ara.xlsx,,skip
인천여자고등학교,yeoja,3220,일반,2026-02-05 12:43,schools/yeoja.xlsx,,skip
인천연송고등학교,yeonsong,3064,일반,2026-01-05 09:54,schools/yeonsong.xlsx,,skip
인천영선고등학교,yeongseon,2879,일반,2026-01-05 10:14,schools/yeongseon.xlsx,,skip
인천영종고등학교,yeongjong,3161,일반,2026-01-05 09:28,schools/yeongjong.xlsx,,skip
인천영흥고등학교,yeongheung,3039,일반,2026-01-05 09:57,schools/yeongheung.xlsx,,skip
인천예일고등학교,yeil,3176,일반,2026-01-05 09:21,schools/yeil.xlsx,,skip
인천외국어고등학교,oegukeo,3187,일반,2025-12-30 08:25,schools/oegukeo.xlsx,,skip
인천외국어고등학교(국제계열),oegukeogodeunghakgyogukjegyeyeol,3188,국제계열,2026-01-05 09:18,schools/oegukeogodeunghakgyogukjegyeyeol.xlsx,,skip
인천운남고등학교,unnam,3114,2026-1,2026-01-05 09:24,schools/unnam.xlsx,,skip
인천원당고등학교,wondang,3179,일반,2025-12-30 08:26,schools/wondang.xlsx,,skip
인천이음고등학교,ieum,3113,일반,2026-01-05 10:23,schools/ieum.xlsx,,skip
인천진산과학고등학교,jinsangwahak,3049,일반,2026-01-05 09:56,schools/jinsangwahak.xlsx,,skip
인천청라고등학교,cheongra,2903,일반,2026-01-05 10:12,schools/cheongra.xlsx,,skip
인천체육고등학교,cheyuk,3278,일반,2026-08-01 23:57,schools/cheyuk.xlsx,,skip
인천초은고등학교,choeun,3081,일반,2026-01-05 10:56,schools/choeun.xlsx,,skip
인천포스코고등학교,poseuko,3223,일반,2026-02-19 11:50,schools/poseuko.xlsx,,skip
인천하늘고등학교,haneul,3201,일반,2025-12-30 08:23,schools/haneul.xlsx,,skip
인천해송고등학교,haesong,3000,일반,2026-01-05 10:00,schools/haesong.xlsx,,skip
인천해원고등학교,haewon,2991,일반,2026-08-30 14:45,schools/haewon.xlsx,,skip
인천효성고등학교,hyosung,2955,일반,2026-01-05 10:10,schools/hyosung.xlsx,,skip
인하대학교사범대학부속고등학교,inhadaehakgyosabeomdaehakbusok,3254,일반,2026-06-26 10:35,schools/inhadaehakgyosabeomdaehakbusok.xlsx,,skip
인항고등학교,inhang,3100,일반,2026-01-05 09:45,schools/inhang.xlsx,,skip
인화여자고등학교,inhwayeoja,3062,일반,2026-01-05 09:54,schools/inhwayeoja.xlsx,,skip
작전고등학교,jakjeon,2930,일반,2026-01-05 10:11,schools/jakjeon.xlsx,,skip
제물포고등학교,jemulpo,3225,일반,2026-03-25 11:01,schools/jemulpo.xlsx,,skip
제일고등학교,jeil,2887,일반,2026-01-05 10:13,schools/jeil.xlsx,,skip
학익고등학교,hakik,3123,일반,2026-01-05 10:19,schools/hakik.xlsx,,skip
학익여자고등학교,hakikyeoja,3243,일반,2026-04-20 14:57,schools/hakikyeoja.xlsx,,skip
