학교명,id,구·군,계열,사이트 표시
검단고등학교,geomdan,검단구,일반,편성표 준비 중
작전여자고등학교,jakjeonyeoja,계양구,일반,편성표 준비 중
도림고등학교,dorim,남동구,일반,편성표 준비 중
동인천고등학교,dongincheon,남동구,일반,편성표 준비 중
인천예술고등학교,yesul,남동구,특목,편성표 준비 중
인천전자마이스터고등학교,jeonjamaiseuteo,미추홀구,특목,편성표 준비 중
연수고등학교,yeonsu,연수구,일반,편성표 준비 중
인천과학예술영재학교,gwahakyesulyeongjaehakgyo,연수구,특목,편성표 준비 중
인천공항고등학교,gonghang,영종구,일반,편성표 준비 중
인천중산고등학교,jungsan,영종구,일반,편성표 준비 중
광성고등학교,gwangseong,제물포구,일반,편성표 준비 중
인천해사고등학교,haesa,제물포구,특목,편성표 준비 중
강남영상미디어고등학교,,강화군,특성화,목록 제외(--include 로 추가 가능)
산마을고등학교,,강화군,특성화,목록 제외(--include 로 추가 가능)
한국글로벌셰프고등학교,,강화군,특성화,목록 제외(--include 로 추가 가능)
문곡고등학교,,검단구,특성화,목록 제외(--include 로 추가 가능)
한국주얼리고등학교,,검단구,특성화,목록 제외(--include 로 추가 가능)
계산공업고등학교,,계양구,특성화,목록 제외(--include 로 추가 가능)
문학정보고등학교,,남동구,특성화,목록 제외(--include 로 추가 가능)
인천금융고등학교,,남동구,특성화,목록 제외(--include 로 추가 가능)
인천기계공업고등학교,,미추홀구,특성화,목록 제외(--include 로 추가 가능)
인천대중예술고등학교,,미추홀구,특성화,목록 제외(--include 로 추가 가능)
인천비즈니스고등학교,,미추홀구,특성화,목록 제외(--include 로 추가 가능)
인천소방고등학교,,미추홀구,특성화,목록 제외(--include 로 추가 가능)
정석항공과학고등학교,,미추홀구,특성화,목록 제외(--include 로 추가 가능)
부평공업고등학교,,부평구,특성화,목록 제외(--include 로 추가 가능)
인천미래생활고등학교,,부평구,특성화,목록 제외(--include 로 추가 가능)
인평자동차고등학교,,부평구,특성화,목록 제외(--include 로 추가 가능)
인천디자인고등학교,,서해구,특성화,목록 제외(--include 로 추가 가능)
인천보건고등학교,,서해구,특성화,목록 제외(--include 로 추가 가능)
인천바이오과학고등학교,,연수구,특성화,목록 제외(--include 로 추가 가능)
인천뷰티예술고등학교,,연수구,특성화,목록 제외(--include 로 추가 가능)
인천생활과학고등학교,,연수구,특성화,목록 제외(--include 로 추가 가능)
인천해양과학고등학교,,연수구,특성화,목록 제외(--include 로 추가 가능)
영종국제물류고등학교,,영종구,특성화,목록 제외(--include 로 추가 가능)
영화국제관광고등학교,,제물포구,특성화,목록 제외(--include 로 추가 가능)
인천반도체고등학교,,제물포구,특성화,목록 제외(--include 로 추가 가능)
인천여자상업고등학교,,제물포구,특성화,목록 제외(--include 로 추가 가능)
인천중앙여자고등학교,,제물포구,특성화,목록 제외(--include 로 추가 가능)
재능고등학교,,제물포구,특성화,목록 제외(--include 로 추가 가능)
